corrupted file!
s5p_l2_ch4_0017_04555.nc 2018-08-30 11:59:39
s5p_l2_ch4_0017_04556.nc 2018-08-30 13:41:08
s5p_l2_ch4_0017_04569.nc 2018-08-31 11:40:31
s5p_l2_ch4_0017_04570.nc 2018-08-31 13:22:00
s5p_l2_ch4_0017_04583.nc 2018-09-01 11:21:23
s5p_l2_ch4_0017_04584.nc 2018-09-01 13:02:53
s5p_l2_ch4_0017_04585.nc 2018-09-01 14:44:23
s5p_l2_ch4_0017_04597.nc 2018-09-02 11:02:16
s5p_l2_ch4_0017_04598.nc 2018-09-02 12:43:46
s5p_l2_ch4_0017_04599.nc 2018-09-02 14:25:15
s5p_l2_ch4_0017_04611.nc 2018-09-03 10:43:09
s5p_l2_ch4_0017_04612.nc 2018-09-03 12:24:38
s5p_l2_ch4_0017_04613.nc 2018-09-03 14:06:07
s5p_l2_ch4_0017_04625.nc 2018-09-04 10:24:01
s5p_l2_ch4_0017_04626.nc 2018-09-04 12:05:31
s5p_l2_ch4_0017_04627.nc 2018-09-04 13:47:00
s5p_l2_ch4_0017_04640.nc 2018-09-05 11:46:23
s5p_l2_ch4_0017_04641.nc 2018-09-05 13:27:53
s5p_l2_ch4_0017_04654.nc 2018-09-06 11:27:15
s5p_l2_ch4_0017_04655.nc 2018-09-06 13:08:45
s5p_l2_ch4_0017_04656.nc 2018-09-06 14:50:15
corrupted file!
s5p_l2_ch4_0017_04669.nc 2018-09-07 12:49:38
s5p_l2_ch4_0017_04670.nc 2018-09-07 14:31:06
s5p_l2_ch4_0017_04682.nc 2018-09-08 10:49:00
s5p_l2_ch4_0017_04683.nc 2018-09-08 12:30:29
s5p_l2_ch4_0017_04684.nc 2018-09-08 14:11:59
s5p_l2_ch4_0017_04696.nc 2018-09-09 10:29:53
s5p_l2_ch4_0017_04697.nc 2018-09-09 12:11:22
s5p_l2_ch4_0017_04698.nc 2018-09-09 13:52:52
s5p_l2_ch4_0017_04710.nc 2018-09-10 10:10:45
s5p_l2_ch4_0017_04711.nc 2018-09-10 11:52:15
s5p_l2_ch4_0017_04712.nc 2018-09-10 13:33:43
s5p_l2_ch4_0017_04725.nc 2018-09-11 11:33:07
s5p_l2_ch4_0017_04726.nc 2018-09-11 13:14:36
s5p_l2_ch4_0017_04727.nc 2018-09-11 14:56:05
s5p_l2_ch4_0017_04739.nc 2018-09-12 11:13:59
s5p_l2_ch4_0017_04740.nc 2018-09-12 12:55:28
s5p_l2_ch4_0017_04741.nc 2018-09-12 14:36:58
s5p_l2_ch4_0017_04753.nc 2018-09-13 10:48:44
s5p_l2_ch4_0017_04754.nc 2018-09-13 12:36:20
s5p_l2_ch4_0017_04755.nc 2018-09-13 14:17:50
s5p_l2_ch4_0017_04767.nc 2018-09-14 10:35:43
s5p_l2_ch4_0017_04768.nc 2018-09-14 12:11:05
s5p_l2_ch4_0017_04769.nc 2018-09-14 13:58:41
s5p_l2_ch4_0017_04781.nc 2018-09-15 10:16:35
s5p_l2_ch4_0017_04782.nc 2018-09-15 11:58:05
s5p_l2_ch4_0017_04783.nc 2018-09-15 13:33:27
s5p_l2_ch4_0017_04796.nc 2018-09-16 11:38:57
s5p_l2_ch4_0017_04797.nc 2018-09-16 13:20:26
s5p_l2_ch4_0017_04798.nc 2018-09-16 14:55:48
s5p_l2_ch4_0017_04810.nc 2018-09-17 11:19:49
s5p_l2_ch4_0017_04811.nc 2018-09-17 13:01:18
s5p_l2_ch4_0017_04812.nc 2018-09-17 14:42:47
s5p_l2_ch4_0017_04824.nc 2018-09-18 11:00:40
s5p_l2_ch4_0017_04825.nc 2018-09-18 12:42:09
s5p_l2_ch4_0017_04826.nc 2018-09-18 14:23:39
s5p_l2_ch4_0017_04838.nc 2018-09-19 10:41:32
s5p_l2_ch4_0017_04839.nc 2018-09-19 12:23:02
s5p_l2_ch4_0017_04840.nc 2018-09-19 14:04:31
s5p_l2_ch4_0017_04852.nc 2018-09-20 10:22:24
s5p_l2_ch4_0017_04853.nc 2018-09-20 12:03:54
s5p_l2_ch4_0017_04854.nc 2018-09-20 13:45:23
corrupted file!
s5p_l2_ch4_0017_04866.nc 2018-09-21 10:03:16
s5p_l2_ch4_0017_04867.nc 2018-09-21 11:44:46
s5p_l2_ch4_0017_04868.nc 2018-09-21 13:26:15
s5p_l2_ch4_0017_04881.nc 2018-09-22 11:25:37
s5p_l2_ch4_0017_04882.nc 2018-09-22 13:07:07
s5p_l2_ch4_0017_04883.nc 2018-09-22 14:48:36
s5p_l2_ch4_0017_04895.nc 2018-09-23 11:06:29
s5p_l2_ch4_0017_04896.nc 2018-09-23 12:47:58
s5p_l2_ch4_0017_04897.nc 2018-09-23 14:29:28
s5p_l2_ch4_0017_04909.nc 2018-09-24 10:47:21
s5p_l2_ch4_0017_04910.nc 2018-09-24 12:28:50
s5p_l2_ch4_0017_04911.nc 2018-09-24 14:10:19
s5p_l2_ch4_0017_04923.nc 2018-09-25 10:28:13
s5p_l2_ch4_0017_04924.nc 2018-09-25 12:09:42
s5p_l2_ch4_0017_04925.nc 2018-09-25 13:51:12
s5p_l2_ch4_0017_04937.nc 2018-09-26 10:09:05
s5p_l2_ch4_0017_04938.nc 2018-09-26 11:50:34
s5p_l2_ch4_0017_04939.nc 2018-09-26 13:32:03
s5p_l2_ch4_0017_04952.nc 2018-09-27 11:31:26
s5p_l2_ch4_0017_04953.nc 2018-09-27 13:12:55
s5p_l2_ch4_0017_04954.nc 2018-09-27 14:54:24
s5p_l2_ch4_0017_04966.nc 2018-09-28 11:12:17
s5p_l2_ch4_0017_04967.nc 2018-09-28 12:53:47
s5p_l2_ch4_0017_04968.nc 2018-09-28 14:35:16
s5p_l2_ch4_0017_04980.nc 2018-09-29 10:53:08
s5p_l2_ch4_0017_04981.nc 2018-09-29 12:34:38
s5p_l2_ch4_0017_04982.nc 2018-09-29 14:16:08
s5p_l2_ch4_0017_04994.nc 2018-09-30 10:34:01
s5p_l2_ch4_0017_04995.nc 2018-09-30 12:15:30
s5p_l2_ch4_0017_04996.nc 2018-09-30 13:56:59
s5p_l2_ch4_0017_05008.nc 2018-10-01 10:08:45
s5p_l2_ch4_0017_05009.nc 2018-10-01 11:56:22
s5p_l2_ch4_0017_05010.nc 2018-10-01 13:37:51
s5p_l2_ch4_0017_05023.nc 2018-10-02 11:31:06
s5p_l2_ch4_0017_05024.nc 2018-10-02 13:18:42
s5p_l2_ch4_0017_05037.nc 2018-10-03 11:18:05
s5p_l2_ch4_0017_05038.nc 2018-10-03 12:53:27
s5p_l2_ch4_0017_05039.nc 2018-10-03 14:41:04
s5p_l2_ch4_0017_05051.nc 2018-10-04 10:58:57
s5p_l2_ch4_0017_05052.nc 2018-10-04 12:40:25
s5p_l2_ch4_0017_05053.nc 2018-10-04 14:15:48
s5p_l2_ch4_0017_05065.nc 2018-10-05 10:39:48
s5p_l2_ch4_0017_05066.nc 2018-10-05 12:21:17
s5p_l2_ch4_0017_05067.nc 2018-10-05 14:02:47
s5p_l2_ch4_0017_05079.nc 2018-10-06 10:20:39
s5p_l2_ch4_0017_05080.nc 2018-10-06 12:02:09
s5p_l2_ch4_0017_05081.nc 2018-10-06 13:43:38
s5p_l2_ch4_0017_05093.nc 2018-10-07 10:01:31
s5p_l2_ch4_0017_05094.nc 2018-10-07 11:43:00
s5p_l2_ch4_0017_05095.nc 2018-10-07 13:24:30
s5p_l2_ch4_0017_05108.nc 2018-10-08 11:23:53
s5p_l2_ch4_0017_05109.nc 2018-10-08 13:05:22
s5p_l2_ch4_0017_05110.nc 2018-10-08 14:46:52
s5p_l2_ch4_0017_05122.nc 2018-10-09 11:04:45
s5p_l2_ch4_0017_05123.nc 2018-10-09 12:46:14
s5p_l2_ch4_0017_05124.nc 2018-10-09 14:27:44
s5p_l2_ch4_0017_05136.nc 2018-10-10 10:45:36
s5p_l2_ch4_0017_05137.nc 2018-10-10 12:27:06
s5p_l2_ch4_0017_05138.nc 2018-10-10 14:08:35
s5p_l2_ch4_0017_05150.nc 2018-10-11 10:26:27
s5p_l2_ch4_0017_05151.nc 2018-10-11 12:07:57
s5p_l2_ch4_0017_05152.nc 2018-10-11 13:49:26
s5p_l2_ch4_0017_05164.nc 2018-10-12 10:07:18
s5p_l2_ch4_0017_05165.nc 2018-10-12 11:48:48
s5p_l2_ch4_0017_05166.nc 2018-10-12 13:30:18
s5p_l2_ch4_0017_05179.nc 2018-10-13 11:23:33
s5p_l2_ch4_0017_05180.nc 2018-10-13 13:11:09
s5p_l2_ch4_0017_05181.nc 2018-10-13 14:52:38
s5p_l2_ch4_0017_05193.nc 2018-10-14 11:10:31
s5p_l2_ch4_0017_05194.nc 2018-10-14 12:52:01
s5p_l2_ch4_0017_05195.nc 2018-10-14 14:33:30
s5p_l2_ch4_0017_05221.nc 2018-10-16 10:32:16
s5p_l2_ch4_0017_05222.nc 2018-10-16 12:13:45
s5p_l2_ch4_0017_05223.nc 2018-10-16 13:55:14
s5p_l2_ch4_0017_05235.nc 2018-10-17 10:13:07
s5p_l2_ch4_0017_05236.nc 2018-10-17 11:54:36
s5p_l2_ch4_0017_05237.nc 2018-10-17 13:36:05
s5p_l2_ch4_0017_05250.nc 2018-10-18 11:35:28
s5p_l2_ch4_0017_05251.nc 2018-10-18 13:16:57
s5p_l2_ch4_0017_05252.nc 2018-10-18 14:58:26
s5p_l2_ch4_0017_05264.nc 2018-10-19 11:16:19
s5p_l2_ch4_0017_05265.nc 2018-10-19 12:57:49
s5p_l2_ch4_0017_05266.nc 2018-10-19 14:39:18
corrupted file!
s5p_l2_ch4_0017_05278.nc 2018-10-20 10:51:04
s5p_l2_ch4_0017_05279.nc 2018-10-20 12:38:40
s5p_l2_ch4_0017_05280.nc 2018-10-20 14:20:10
s5p_l2_ch4_0017_05292.nc 2018-10-21 10:38:03
s5p_l2_ch4_0017_05293.nc 2018-10-21 12:13:25
s5p_l2_ch4_0017_05294.nc 2018-10-21 14:01:01
s5p_l2_ch4_0017_05306.nc 2018-10-22 10:18:54
s5p_l2_ch4_0017_05307.nc 2018-10-22 12:00:24
s5p_l2_ch4_0017_05308.nc 2018-10-22 13:35:47
s5p_l2_ch4_0017_05321.nc 2018-10-23 11:41:15
s5p_l2_ch4_0017_05322.nc 2018-10-23 13:22:45
s5p_l2_ch4_0017_05323.nc 2018-10-23 14:58:08
corrupted file!
s5p_l2_ch4_0017_05335.nc 2018-10-24 11:22:07
s5p_l2_ch4_0017_05336.nc 2018-10-24 13:03:36
s5p_l2_ch4_0017_05337.nc 2018-10-24 14:45:05
corrupted file!
s5p_l2_ch4_0017_05349.nc 2018-10-25 11:02:59
s5p_l2_ch4_0017_05350.nc 2018-10-25 12:44:29
s5p_l2_ch4_0017_05351.nc 2018-10-25 14:25:58
s5p_l2_ch4_0017_05363.nc 2018-10-26 10:43:51
s5p_l2_ch4_0017_05364.nc 2018-10-26 12:25:20
s5p_l2_ch4_0017_05365.nc 2018-10-26 14:06:50
s5p_l2_ch4_0017_05377.nc 2018-10-27 10:24:43
s5p_l2_ch4_0017_05378.nc 2018-10-27 12:06:12
s5p_l2_ch4_0017_05379.nc 2018-10-27 13:47:41
s5p_l2_ch4_0017_05391.nc 2018-10-28 10:05:35
s5p_l2_ch4_0017_05392.nc 2018-10-28 11:47:04
s5p_l2_ch4_0017_05393.nc 2018-10-28 13:28:34
corrupted file!
s5p_l2_ch4_0017_05406.nc 2018-10-29 11:27:56
s5p_l2_ch4_0017_05407.nc 2018-10-29 13:09:25
s5p_l2_ch4_0017_05408.nc 2018-10-29 14:50:55
corrupted file!
corrupted file!
s5p_l2_ch4_0017_05420.nc 2018-10-30 11:08:48
s5p_l2_ch4_0017_05421.nc 2018-10-30 12:50:18
s5p_l2_ch4_0017_05422.nc 2018-10-30 14:31:47
s5p_l2_ch4_0017_05434.nc 2018-10-31 10:49:40
s5p_l2_ch4_0017_05435.nc 2018-10-31 12:31:09
s5p_l2_ch4_0017_05436.nc 2018-10-31 14:12:39
s5p_l2_ch4_0017_05449.nc 2018-11-01 12:12:02
s5p_l2_ch4_0017_05450.nc 2018-11-01 13:53:32
s5p_l2_ch4_0017_05462.nc 2018-11-02 10:11:25
s5p_l2_ch4_0017_05463.nc 2018-11-02 11:52:54
s5p_l2_ch4_0017_05464.nc 2018-11-02 13:34:23
corrupted file!
s5p_l2_ch4_0017_05477.nc 2018-11-03 11:33:47
s5p_l2_ch4_0017_05478.nc 2018-11-03 13:15:16
s5p_l2_ch4_0017_05479.nc 2018-11-03 14:56:45
s5p_l2_ch4_0017_05491.nc 2018-11-04 11:14:39
s5p_l2_ch4_0017_05492.nc 2018-11-04 12:56:08
s5p_l2_ch4_0017_05493.nc 2018-11-04 14:37:38
s5p_l2_ch4_0017_05505.nc 2018-11-05 10:55:32
s5p_l2_ch4_0017_05506.nc 2018-11-05 12:37:01
s5p_l2_ch4_0017_05507.nc 2018-11-05 14:18:31
s5p_l2_ch4_0017_05519.nc 2018-11-06 10:30:17
s5p_l2_ch4_0017_05520.nc 2018-11-06 12:17:54
s5p_l2_ch4_0017_05521.nc 2018-11-06 13:59:23
s5p_l2_ch4_0017_05533.nc 2018-11-07 10:11:10
s5p_l2_ch4_0017_05534.nc 2018-11-07 11:58:46
s5p_l2_ch4_0017_05535.nc 2018-11-07 13:40:16
s5p_l2_ch4_0017_05548.nc 2018-11-08 11:33:32
s5p_l2_ch4_0017_05549.nc 2018-11-08 13:21:09
corrupted file!
s5p_l2_ch4_0017_05562.nc 2018-11-09 11:20:32
s5p_l2_ch4_0017_05563.nc 2018-11-09 12:55:55
s5p_l2_ch4_0017_05564.nc 2018-11-09 14:43:31
s5p_l2_ch4_0017_05576.nc 2018-11-10 11:01:25
s5p_l2_ch4_0017_05577.nc 2018-11-10 12:42:54
s5p_l2_ch4_0017_05578.nc 2018-11-10 14:18:17
s5p_l2_ch4_0017_05590.nc 2018-11-11 10:42:18
s5p_l2_ch4_0017_05591.nc 2018-11-11 12:23:47
s5p_l2_ch4_0017_05592.nc 2018-11-11 14:05:17
s5p_l2_ch4_0017_05604.nc 2018-11-12 10:23:11
s5p_l2_ch4_0017_05605.nc 2018-11-12 12:04:40
s5p_l2_ch4_0017_05606.nc 2018-11-12 13:46:09
corrupted file!
s5p_l2_ch4_0017_05618.nc 2018-11-13 10:04:04
s5p_l2_ch4_0017_05619.nc 2018-11-13 11:45:34
s5p_l2_ch4_0017_05620.nc 2018-11-13 13:27:03
s5p_l2_ch4_0017_05633.nc 2018-11-14 11:26:27
s5p_l2_ch4_0017_05634.nc 2018-11-14 13:07:56
s5p_l2_ch4_0017_05635.nc 2018-11-14 14:49:26
s5p_l2_ch4_0017_05647.nc 2018-11-15 11:07:20
s5p_l2_ch4_0017_05648.nc 2018-11-15 12:48:49
s5p_l2_ch4_0017_05649.nc 2018-11-15 14:30:19
corrupted file!
s5p_l2_ch4_0017_05661.nc 2018-11-16 10:48:13
s5p_l2_ch4_0017_05662.nc 2018-11-16 12:29:43
s5p_l2_ch4_0017_05663.nc 2018-11-16 14:11:12
corrupted file!
s5p_l2_ch4_0017_05675.nc 2018-11-17 10:29:07
s5p_l2_ch4_0017_05676.nc 2018-11-17 12:10:37
s5p_l2_ch4_0017_05677.nc 2018-11-17 13:52:06
s5p_l2_ch4_0017_05689.nc 2018-11-18 10:10:01
s5p_l2_ch4_0017_05690.nc 2018-11-18 11:51:30
s5p_l2_ch4_0017_05691.nc 2018-11-18 13:32:59
corrupted file!
s5p_l2_ch4_0017_05704.nc 2018-11-19 11:32:23
s5p_l2_ch4_0017_05705.nc 2018-11-19 13:13:54
s5p_l2_ch4_0017_05706.nc 2018-11-19 14:55:23
s5p_l2_ch4_0017_05718.nc 2018-11-20 11:13:18
s5p_l2_ch4_0017_05719.nc 2018-11-20 12:48:40
s5p_l2_ch4_0017_05720.nc 2018-11-20 14:36:17
s5p_l2_ch4_0017_05732.nc 2018-11-21 10:54:12
s5p_l2_ch4_0017_05733.nc 2018-11-21 12:35:42
s5p_l2_ch4_0017_05734.nc 2018-11-21 14:17:11
s5p_l2_ch4_0017_05746.nc 2018-11-22 10:35:06
s5p_l2_ch4_0017_05747.nc 2018-11-22 12:16:36
s5p_l2_ch4_0017_05748.nc 2018-11-22 13:58:05
s5p_l2_ch4_0017_05760.nc 2018-11-23 10:16:00
s5p_l2_ch4_0017_05761.nc 2018-11-23 11:57:29
s5p_l2_ch4_0017_05762.nc 2018-11-23 13:39:00
s5p_l2_ch4_0017_05775.nc 2018-11-24 11:38:24
s5p_l2_ch4_0017_05776.nc 2018-11-24 13:19:54
s5p_l2_ch4_0017_05789.nc 2018-11-25 11:13:12
s5p_l2_ch4_0017_05790.nc 2018-11-25 13:00:48
s5p_l2_ch4_0017_05791.nc 2018-11-25 14:42:18
s5p_l2_ch4_0017_05803.nc 2018-11-26 10:54:06
s5p_l2_ch4_0017_05804.nc 2018-11-26 12:41:43
s5p_l2_ch4_0017_05805.nc 2018-11-26 14:23:13
s5p_l2_ch4_0017_05817.nc 2018-11-27 10:41:08
s5p_l2_ch4_0017_05818.nc 2018-11-27 12:16:31
s5p_l2_ch4_0017_05819.nc 2018-11-27 14:04:07
s5p_l2_ch4_0017_05831.nc 2018-11-28 10:22:02
s5p_l2_ch4_0017_05832.nc 2018-11-28 12:03:33
s5p_l2_ch4_0017_05833.nc 2018-11-28 13:38:56
s5p_l2_ch4_0017_05845.nc 2018-11-29 10:02:57
s5p_l2_ch4_0017_05846.nc 2018-11-29 11:44:28
s5p_l2_ch4_0017_05847.nc 2018-11-29 13:25:58
s5p_l2_ch4_0017_05860.nc 2018-11-30 11:25:23
s5p_l2_ch4_0017_05861.nc 2018-11-30 13:06:52
s5p_l2_ch4_0017_05862.nc 2018-11-30 14:48:21
corrupted file!
s5p_l2_ch4_0017_05874.nc 2018-12-01 11:06:18
s5p_l2_ch4_0017_05875.nc 2018-12-01 12:47:48
s5p_l2_ch4_0017_05876.nc 2018-12-01 14:29:17
s5p_l2_ch4_0017_05888.nc 2018-12-02 10:47:14
s5p_l2_ch4_0017_05889.nc 2018-12-02 12:28:43
s5p_l2_ch4_0017_05890.nc 2018-12-02 14:10:12
s5p_l2_ch4_0017_05902.nc 2018-12-03 10:28:09
s5p_l2_ch4_0017_05903.nc 2018-12-03 12:09:38
s5p_l2_ch4_0017_05904.nc 2018-12-03 13:51:08
s5p_l2_ch4_0017_05916.nc 2018-12-04 10:09:04
s5p_l2_ch4_0017_05917.nc 2018-12-04 11:50:34
s5p_l2_ch4_0017_05918.nc 2018-12-04 13:32:04
s5p_l2_ch4_0017_05931.nc 2018-12-05 11:31:30
s5p_l2_ch4_0017_05932.nc 2018-12-05 13:12:59
s5p_l2_ch4_0017_05933.nc 2018-12-05 14:54:30
s5p_l2_ch4_0017_05945.nc 2018-12-06 11:12:26
s5p_l2_ch4_0017_05946.nc 2018-12-06 12:53:55
s5p_l2_ch4_0017_05947.nc 2018-12-06 14:35:24
s5p_l2_ch4_0017_05959.nc 2018-12-07 10:53:22
s5p_l2_ch4_0017_05960.nc 2018-12-07 12:34:51
s5p_l2_ch4_0017_05961.nc 2018-12-07 14:16:21
s5p_l2_ch4_0017_05973.nc 2018-12-08 10:34:18
s5p_l2_ch4_0017_05974.nc 2018-12-08 12:15:47
s5p_l2_ch4_0017_05975.nc 2018-12-08 13:57:17
s5p_l2_ch4_0017_05987.nc 2018-12-09 10:15:14
s5p_l2_ch4_0017_05988.nc 2018-12-09 11:56:43
s5p_l2_ch4_0017_05989.nc 2018-12-09 13:38:14
s5p_l2_ch4_0017_06002.nc 2018-12-10 11:37:40
s5p_l2_ch4_0017_06003.nc 2018-12-10 13:19:03
s5p_l2_ch4_0017_06016.nc 2018-12-11 11:18:36
s5p_l2_ch4_0017_06017.nc 2018-12-11 13:00:07
s5p_l2_ch4_0017_06018.nc 2018-12-11 14:41:36
s5p_l2_ch4_0017_06030.nc 2018-12-12 10:59:34
s5p_l2_ch4_0017_06031.nc 2018-12-12 12:41:03
s5p_l2_ch4_0017_06032.nc 2018-12-12 14:22:33
s5p_l2_ch4_0017_06044.nc 2018-12-13 10:40:31
s5p_l2_ch4_0017_06045.nc 2018-12-13 12:22:01
s5p_l2_ch4_0017_06046.nc 2018-12-13 14:03:30
s5p_l2_ch4_0017_06058.nc 2018-12-14 10:15:20
s5p_l2_ch4_0017_06059.nc 2018-12-14 11:56:51
s5p_l2_ch4_0017_06060.nc 2018-12-14 13:44:27
s5p_l2_ch4_0017_06072.nc 2018-12-15 10:02:24
s5p_l2_ch4_0017_06073.nc 2018-12-15 11:37:47
s5p_l2_ch4_0017_06074.nc 2018-12-15 13:25:24
s5p_l2_ch4_0017_06087.nc 2018-12-16 11:24:52
s5p_l2_ch4_0017_06088.nc 2018-12-16 13:00:15
s5p_l2_ch4_0017_06089.nc 2018-12-16 14:47:51
s5p_l2_ch4_0017_06101.nc 2018-12-17 11:05:49
s5p_l2_ch4_0017_06102.nc 2018-12-17 12:47:20
s5p_l2_ch4_0017_06103.nc 2018-12-17 14:22:42
s5p_l2_ch4_0017_06115.nc 2018-12-18 10:46:47
s5p_l2_ch4_0017_06116.nc 2018-12-18 12:28:17
s5p_l2_ch4_0017_06117.nc 2018-12-18 14:09:47
s5p_l2_ch4_0017_06129.nc 2018-12-19 10:27:45
s5p_l2_ch4_0017_06131.nc 2018-12-19 13:50:44
s5p_l2_ch4_0017_06143.nc 2018-12-20 10:08:42
s5p_l2_ch4_0017_06144.nc 2018-12-20 11:50:12
s5p_l2_ch4_0017_06145.nc 2018-12-20 13:31:42
s5p_l2_ch4_0017_06158.nc 2018-12-21 11:31:10
s5p_l2_ch4_0017_06159.nc 2018-12-21 13:12:40
s5p_l2_ch4_0017_06160.nc 2018-12-21 14:54:10
s5p_l2_ch4_0017_06172.nc 2018-12-22 11:12:09
s5p_l2_ch4_0017_06173.nc 2018-12-22 12:53:38
s5p_l2_ch4_0017_06174.nc 2018-12-22 14:35:08
s5p_l2_ch4_0017_06186.nc 2018-12-23 10:53:06
s5p_l2_ch4_0017_06187.nc 2018-12-23 12:34:36
s5p_l2_ch4_0017_06188.nc 2018-12-23 14:16:06
s5p_l2_ch4_0017_06200.nc 2018-12-24 10:34:05
s5p_l2_ch4_0017_06201.nc 2018-12-24 12:15:35
s5p_l2_ch4_0017_06202.nc 2018-12-24 13:57:05
s5p_l2_ch4_0017_06214.nc 2018-12-25 10:15:03
corrupted file!
s5p_l2_ch4_0017_06216.nc 2018-12-25 13:38:03
s5p_l2_ch4_0017_06229.nc 2018-12-26 11:37:32
s5p_l2_ch4_0017_06230.nc 2018-12-26 13:19:02
s5p_l2_ch4_0017_06243.nc 2018-12-27 11:18:31
s5p_l2_ch4_0017_06244.nc 2018-12-27 13:00:01
s5p_l2_ch4_0017_06245.nc 2018-12-27 14:41:31
s5p_l2_ch4_0017_06257.nc 2018-12-28 10:59:30
s5p_l2_ch4_0017_06258.nc 2018-12-28 12:41:00
s5p_l2_ch4_0017_06259.nc 2018-12-28 14:16:23
s5p_l2_ch4_0017_06271.nc 2018-12-29 10:40:29
s5p_l2_ch4_0017_06272.nc 2018-12-29 12:21:59
s5p_l2_ch4_0017_06273.nc 2018-12-29 14:03:28
s5p_l2_ch4_0017_06285.nc 2018-12-30 10:21:28
s5p_l2_ch4_0017_06286.nc 2018-12-30 12:02:58
s5p_l2_ch4_0017_06287.nc 2018-12-30 13:44:28
s5p_l2_ch4_0017_06299.nc 2018-12-31 10:02:28
s5p_l2_ch4_0017_06300.nc 2018-12-31 11:43:57
s5p_l2_ch4_0017_06301.nc 2018-12-31 13:25:28
s5p_l2_ch4_0017_06314.nc 2019-01-01 11:24:57
s5p_l2_ch4_0017_06315.nc 2019-01-01 13:06:26
s5p_l2_ch4_0017_06316.nc 2019-01-01 14:47:57
s5p_l2_ch4_0017_06328.nc 2019-01-02 10:59:50
s5p_l2_ch4_0017_06329.nc 2019-01-02 12:41:19
s5p_l2_ch4_0017_06330.nc 2019-01-02 14:28:57
s5p_l2_ch4_0017_06342.nc 2019-01-03 10:46:56
s5p_l2_ch4_0017_06343.nc 2019-01-03 12:22:19
s5p_l2_ch4_0017_06344.nc 2019-01-03 14:09:56
s5p_l2_ch4_0017_06356.nc 2019-01-04 10:27:56
s5p_l2_ch4_0017_06357.nc 2019-01-04 12:09:26
s5p_l2_ch4_0017_06358.nc 2019-01-04 13:44:49
s5p_l2_ch4_0017_06370.nc 2019-01-05 10:08:56
s5p_l2_ch4_0017_06371.nc 2019-01-05 11:50:26
s5p_l2_ch4_0017_06372.nc 2019-01-05 13:31:56
s5p_l2_ch4_0017_06385.nc 2019-01-06 11:31:26
s5p_l2_ch4_0017_06386.nc 2019-01-06 13:12:56
s5p_l2_ch4_0017_06387.nc 2019-01-06 14:54:26
corrupted file!
s5p_l2_ch4_0017_06399.nc 2019-01-07 11:12:26
s5p_l2_ch4_0017_06400.nc 2019-01-07 12:53:57
s5p_l2_ch4_0017_06401.nc 2019-01-07 14:35:26
s5p_l2_ch4_0017_06413.nc 2019-01-08 10:53:27
s5p_l2_ch4_0017_06414.nc 2019-01-08 12:34:57
s5p_l2_ch4_0017_06415.nc 2019-01-08 14:16:26
s5p_l2_ch4_0017_06427.nc 2019-01-09 10:34:27
s5p_l2_ch4_0017_06428.nc 2019-01-09 12:15:58
s5p_l2_ch4_0017_06429.nc 2019-01-09 13:57:27
s5p_l2_ch4_0017_06441.nc 2019-01-10 10:15:28
s5p_l2_ch4_0017_06442.nc 2019-01-10 11:56:58
s5p_l2_ch4_0017_06443.nc 2019-01-10 13:38:28
s5p_l2_ch4_0017_06456.nc 2019-01-11 11:37:59
s5p_l2_ch4_0017_06457.nc 2019-01-11 13:19:28
s5p_l2_ch4_0017_06470.nc 2019-01-12 11:19:00
s5p_l2_ch4_0017_06471.nc 2019-01-12 13:00:30
s5p_l2_ch4_0017_06472.nc 2019-01-12 14:42:00
s5p_l2_ch4_0017_06484.nc 2019-01-13 11:00:01
s5p_l2_ch4_0017_06485.nc 2019-01-13 12:41:31
s5p_l2_ch4_0017_06486.nc 2019-01-13 14:23:01
s5p_l2_ch4_0017_06498.nc 2019-01-14 10:41:02
s5p_l2_ch4_0017_06499.nc 2019-01-14 12:22:32
s5p_l2_ch4_0017_06500.nc 2019-01-14 14:04:02
s5p_l2_ch4_0017_06512.nc 2019-01-15 10:22:03
s5p_l2_ch4_0017_06513.nc 2019-01-15 12:03:33
s5p_l2_ch4_0017_06514.nc 2019-01-15 13:45:03
corrupted file!
s5p_l2_ch4_0017_06527.nc 2019-01-16 11:44:35
s5p_l2_ch4_0017_06528.nc 2019-01-16 13:26:05
s5p_l2_ch4_0017_06541.nc 2019-01-17 11:25:36
s5p_l2_ch4_0017_06542.nc 2019-01-17 13:07:06
s5p_l2_ch4_0017_06543.nc 2019-01-17 14:48:36
s5p_l2_ch4_0017_06555.nc 2019-01-18 11:06:38
s5p_l2_ch4_0017_06556.nc 2019-01-18 12:48:08
s5p_l2_ch4_0017_06557.nc 2019-01-18 14:29:38
s5p_l2_ch4_0017_06569.nc 2019-01-19 10:47:39
s5p_l2_ch4_0017_06570.nc 2019-01-19 12:29:10
s5p_l2_ch4_0017_06571.nc 2019-01-19 14:10:39
s5p_l2_ch4_0017_06583.nc 2019-01-20 10:22:34
s5p_l2_ch4_0017_06584.nc 2019-01-20 12:10:11
s5p_l2_ch4_0017_06585.nc 2019-01-20 13:51:41
s5p_l2_ch4_0017_06597.nc 2019-01-21 10:09:43
s5p_l2_ch4_0017_06598.nc 2019-01-21 11:45:06
s5p_l2_ch4_0017_06599.nc 2019-01-21 13:26:36
s5p_l2_ch4_0017_06612.nc 2019-01-22 11:32:15
s5p_l2_ch4_0017_06613.nc 2019-01-22 13:07:38
