corrupted file!
s5p_l2_ch4_0017_02895.nc 2018-05-05 11:55:32
s5p_l2_ch4_0017_02896.nc 2018-05-05 13:37:02
s5p_l2_ch4_0017_02910.nc 2018-05-06 13:18:04
s5p_l2_ch4_0017_02911.nc 2018-05-06 14:59:34
s5p_l2_ch4_0017_02923.nc 2018-05-07 11:11:29
s5p_l2_ch4_0017_02925.nc 2018-05-07 14:40:36
s5p_l2_ch4_0017_02937.nc 2018-05-08 10:58:37
s5p_l2_ch4_0017_02938.nc 2018-05-08 12:34:01
s5p_l2_ch4_0017_02939.nc 2018-05-08 14:21:38
s5p_l2_ch4_0017_02951.nc 2018-05-09 10:39:39
s5p_l2_ch4_0017_02952.nc 2018-05-09 12:21:09
s5p_l2_ch4_0017_02953.nc 2018-05-09 13:56:32
s5p_l2_ch4_0017_02965.nc 2018-05-10 10:20:41
s5p_l2_ch4_0017_02966.nc 2018-05-10 12:02:11
s5p_l2_ch4_0017_02967.nc 2018-05-10 13:43:41
s5p_l2_ch4_0017_02979.nc 2018-05-11 10:01:42
s5p_l2_ch4_0017_02980.nc 2018-05-11 11:43:13
s5p_l2_ch4_0017_02981.nc 2018-05-11 13:24:43
corrupted file!
s5p_l2_ch4_0017_02994.nc 2018-05-12 11:24:14
s5p_l2_ch4_0017_02995.nc 2018-05-12 13:05:44
s5p_l2_ch4_0017_02996.nc 2018-05-12 14:47:14
corrupted file!
s5p_l2_ch4_0017_03008.nc 2018-05-13 11:05:15
s5p_l2_ch4_0017_03009.nc 2018-05-13 12:46:46
s5p_l2_ch4_0017_03010.nc 2018-05-13 14:28:15
s5p_l2_ch4_0017_03022.nc 2018-05-14 10:46:17
s5p_l2_ch4_0017_03023.nc 2018-05-14 12:27:47
s5p_l2_ch4_0017_03024.nc 2018-05-14 14:09:17
corrupted file!
s5p_l2_ch4_0017_03036.nc 2018-05-15 10:27:18
s5p_l2_ch4_0017_03037.nc 2018-05-15 12:08:48
s5p_l2_ch4_0017_03038.nc 2018-05-15 13:50:17
s5p_l2_ch4_0017_03050.nc 2018-05-16 10:08:19
s5p_l2_ch4_0017_03051.nc 2018-05-16 11:49:49
s5p_l2_ch4_0017_03052.nc 2018-05-16 13:31:19
s5p_l2_ch4_0017_03065.nc 2018-05-17 11:30:50
s5p_l2_ch4_0017_03066.nc 2018-05-17 13:12:19
s5p_l2_ch4_0017_03067.nc 2018-05-17 14:53:50
s5p_l2_ch4_0017_03079.nc 2018-05-18 11:11:51
s5p_l2_ch4_0017_03080.nc 2018-05-18 12:53:21
s5p_l2_ch4_0017_03081.nc 2018-05-18 14:34:51
s5p_l2_ch4_0017_03093.nc 2018-05-19 10:52:51
s5p_l2_ch4_0017_03094.nc 2018-05-19 12:34:21
s5p_l2_ch4_0017_03095.nc 2018-05-19 14:15:52
s5p_l2_ch4_0017_03107.nc 2018-05-20 10:33:52
s5p_l2_ch4_0017_03108.nc 2018-05-20 12:03:33
s5p_l2_ch4_0017_03109.nc 2018-05-20 13:56:52
s5p_l2_ch4_0017_03121.nc 2018-05-21 10:14:52
s5p_l2_ch4_0017_03122.nc 2018-05-21 11:56:23
s5p_l2_ch4_0017_03123.nc 2018-05-21 13:37:52
s5p_l2_ch4_0017_03136.nc 2018-05-22 11:37:23
s5p_l2_ch4_0017_03137.nc 2018-05-22 13:18:53
